Time(s),Actuator_0_Deflection,Actuator_0_TargetDeflection,Actuator_1_Deflection,Actuator_1_TargetDeflection,Actuator_2_Deflection,Actuator_2_TargetDeflection,Actuator_3_Deflection,Actuator_3_TargetDeflection,PitchError,RollError,YawError
7.419999999999886,0.4509339864298604,0.34732599378814016,-7.470294757210866e-17,-1.0299372884491514e-16,-0.45093398642986027,-0.34732599378814005,1.5235850088943406e-16,1.6440184168892969e-16,0.0042941340093763155,1.507268345350676e-17,-1.1282306718729457e-18
7.429999999999886,0.4410743823379632,0.33320077214322047,-7.73951713638088e-17,-9.698510577330991e-17,-0.4410743823379631,-0.33320077214322036,1.535045762953869e-16,1.5716028889899903e-16,0.004194320648261633,1.522982665303319e-17,-1.1419183971363922e-18
7.439999999999886,0.43080885106604927,0.3191453413130631,-7.925940010272308e-17,-9.02212616706684e-17,-0.43080885106604916,-0.319145341313063,1.5385246334566513e-16,1.4905754580415973e-16,0.004090799798711576,1.5388921507456028e-17,-1.1476032034126703e-18
7.449999999999886,0.42018266316678854,0.30521717452491415,-8.030255915266112e-17,-8.275683919056221e-17,-0.42018266316678843,-0.30521717452491404,1.533961666121108e-16,1.4011203639326261e-16,0.003984024295302255,1.5550606191245612e-17,-1.1453111069341444e-18
7.459999999999885,0.4092422504308704,0.291472619526429,-8.053611477793058e-17,-7.372266949315855e-17,-0.4092422504308703,-0.2914726195264289,1.521320144813387e-16,1.313117045693101e-16,0.003874457033803645,1.5706444306523548e-17,-1.1351197547026583e-18
7.469999999999885,0.39803498827705197,0.2779666671925279,-7.988772973256097e-17,-6.371504496338826e-17,-0.39803498827705186,-0.27796666719252777,1.501507000328186e-16,1.2212088066427994e-16,0.003762568822580519,1.5853727338585117e-17,-1.117127297818647e-18
7.479999999999885,0.38660897683056145,0.26475272919972476,-7.834869529263602e-17,-5.3254314797610847e-17,-0.38660897683056134,-0.26475272919972465,1.4748331004972284e-16,1.120899814770752e-16,0.003648836227200106,1.5994544577971255e-17,-1.091455137953447e-18
7.489999999999885,0.3750128216775618,0.25188242560024654,-7.596064925194142e-17,-4.231581306400518e-17,-0.37501282167756167,-0.25188242560024643,1.441151895184481e-16,1.013410250840302e-16,0.0035337394178658207,1.6130219108304112e-17,-1.0582578981488622e-18
7.4999999999998845,0.36329541526858977,0.23940538307092468,-7.275891977054029e-17,-3.124769922784942e-17,-0.36329541526858966,-0.23940538307092463,1.4004468958951455e-16,8.961405717301459e-17,0.0034177600291264293,1.6265008298569462e-17,-1.0177162448168242e-18
7.509999999999884,0.3515057199250521,0.22736904455159265,-6.880860484321919e-17,-2.0135350100320198e-17,-0.351505719925052,-0.2273690445515926,1.3524558039868107e-16,7.694425176456307e-17,0.0033013790411007397,1.6403310507057093e-17,-9.70049222559768e-19
7.519999999999884,0.33969255338008203,0.21581849092603517,-6.417673224929154e-17,-8.676692702797108e-18,-0.3396925533800819,-0.2158184909260351,1.2969747543392448e-16,6.37361023507561e-17,0.003185074691211546,1.6545969957357033e-17,-9.155025239792276e-19
7.529999999999884,0.3279043777585804,0.20479627533458425,-5.889520518694089e-17,2.9753814161957833e-18,-0.3279043777585803,-0.2047962753345842,1.2342042086143694e-16,4.99224319763731e-17,0.0030693204251404523,1.6694883528322643e-17,-8.543384732994759e-19
7.539999999999884,0.3161890928712196,0.19434227064218285,-5.3007440418156753e-17,1.4922665922096294e-17,-0.3161890928712195,-0.1943422706421828,1.1642616246997006e-16,3.574054000132964e-17,0.002954582895399402,1.6850247411286383e-17,-7.868571464649001e-19
7.5499999999998835,0.30459383466379125,0.18449353051991976,-4.6543036105726575e-17,2.691078036048213e-17,-0.30459383466379114,-0.1844935305199197,1.0874791030847861e-16,2.104137133357459e-17,0.002841320015567794,1.7014220623393426e-17,-7.133792205505095e-19
7.559999999999883,0.2931647796267941,0.17528416453043882,-3.9552981275689554e-17,4.045182670196039e-17,-0.29316477962679405,-0.17528416453043877,1.0040152960449717e-16,7.498509765324846e-18,0.002729979077867216,1.7173369499966905e-17,-6.342696262835296e-19
7.569999999999883,0.28194695593071595,0.16674522754058468,-3.193951717899928e-17,5.4199877420878393e-17,-0.2819469559307159,-0.16674522754058463,9.156063836434524e-17,-6.158682693269601e-18,0.002620994941342269,1.7327352004585683e-17,-5.498943463401457e-19
7.579999999999883,0.27098406201039116,0.1589046237166594,-2.374226998005577e-17,6.755470222386545e-17,-0.2709840620103911,-0.15890462371665934,8.226141546472978e-17,-2.0299082537758467e-17,0.0025147882974872766,1.748056193822248e-17,-4.606912576493059e-19
7.589999999999883,0.2603182932772805,0.15178702529029559,-1.5054214379631573e-17,8.055596542499922e-17,-0.26031829327728045,-0.15178702529029553,7.250149366729539e-17,-3.462352860736945e-17,0.0024117640197077175,1.7635633102225575e-17,-3.6717638741291083e-19
7.599999999999882,0.24999017759180803,0.1454138062159692,-5.955702807376939e-18,9.39977913743688e-17,-0.24999017759180797,-0.14541380621596914,6.230719995468315e-17,-4.8441625688152335e-17,0.002312309602534357,1.7787893523195845e-17,-2.69771705389713e-19
7.609999999999882,0.24003842007925302,0.13980299077452427,3.556129775285483e-18,1.0801304545408041e-16,-0.24003842007925297,-0.1398029907745242,5.1768055757025813e-17,-6.150480493472473e-17,0.002216793696019398,1.7930924817192005e-17,-1.689134162725306e-19
7.619999999999882,0.2304997578223412,0.13496921711205742,1.3496519575279463e-17,1.2124433072091322e-16,-0.23049975782234114,-0.13496921711205737,4.098871786714599e-17,-7.509299984623184e-17,0.0021255647402406304,1.807133046191157e-17,-6.503328338189233e-20
7.629999999999882,0.2214088249119299,0.13092371563924052,2.3750079484871575e-17,1.3426948729644115e-16,-0.22140882491192984,-0.13092371563924046,2.994208189072029e-17,-8.850431897898037e-17,0.0020389497043235335,1.8209310404822788e-17,4.1419791664946127e-20
7.6399999999998816,0.2127980282842426,0.12767430215392733,3.4267391689357056e-17,1.4656183554690755e-16,-0.21279802828424255,-0.12767430215392728,1.8670416559612044e-17,-1.0217084064864543e-16,0.0019572529338655977,1.8349736584171556e-17,1.4999471375553833e-19
7.649999999999881,0.20469743471928212,0.12522538548875722,4.4953620907057325e-17,1.5889719706643807e-16,-0.20469743471928206,-0.12522538548875717,7.170850515893786e-18,-1.1519621791829176e-16,0.0018807551101136632,1.8489205154469976e-17,2.6022661045964605e-19
7.659999999999881,0.1971346693205322,0.12357798942711665,5.579678581260006e-17,1.7141784344866714e-16,-0.19713466932053214,-0.12357798942711659,-4.4739156636735014e-18,-1.2733593720530006e-16,0.001809712323707034,1.8622508707617064e-17,3.7164639555257638e-19
7.669999999999881,0.1901348257411725,0.12272978857395264,6.679958418666111e-17,1.8474081854950545e-16,-0.19013482574117244,-0.12272978857395259,-1.6165782858896e-17,-1.3786500368636947e-16,0.0017443552652583179,1.873802089962493e-17,4.837785575265833e-19
7.679999999999881,0.18372038836695787,0.12267515781430792,7.802317656865515e-17,1.9762416089276566e-16,-0.1837203883669578,-0.12267515781430786,-2.7746994935850065e-17,-1.4795694410141584e-16,0.0016848885345035352,1.883618268233444e-17,5.961597060575183e-19
7.6899999999998805,0.1779111666109777,0.12340523494058354,8.9404715042378e-17,2.0983301363712165e-16,-0.17791116661097764,-0.12340523494058349,-3.918648407621112e-17,-1.577622358674885e-16,0.001631490069214618,1.8919304721976377e-17,7.083302229131409e-19
7.69999999999988,0.17272424142086754,0.12490799598100868,1.0086498287818999e-16,2.214131042314427e-16,-0.17272424142086748,-0.12490799598100863,-5.047045877499603e-17,-1.6715031486219372e-16,0.0015843106945338233,1.898878206780478e-17,8.198337116114758e-19
7.70999999999988,0.16817392404498438,0.12716834271615107,1.1233665335707975e-16,2.323511395048073e-16,-0.16817392404498432,-0.12716834271615102,-6.15740151434462e-17,-1.7592519018342651e-16,0.0015434737928630086,1.904508518915729e-17,9.301601379739384e-19
